epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0251,2.27944,7.60855,3.05184,1,0.05845,0.09171,0.01539,2.26679,4.42642,2.87549,0.00014,0.00014,0.00014
2,50.4427,1.9328,5.3771,2.56939,0.87169,0.65777,0.82867,0.43422,1.50553,2.43169,2.11682,0.0002703,0.0002703,0.0002703
3,53.5138,1.3838,3.00888,1.85365,1,0.9953,0.995,0.65728,1.14527,1.68932,1.67358,0.00036892,0.00036892,0.00036892
4,56.3521,1.27899,2.54548,1.65748,0.99859,1,0.995,0.68054,1.18071,1.38333,1.82925,0.00043586,0.00043586,0.00043586
5,58.7864,1.12595,2.1111,1.59282,0.95511,1,0.98813,0.6789,1.18041,1.51315,1.66309,0.00047112,0.00047112,0.00047112
6,61.1184,1.08003,1.93332,1.57113,0.99624,1,0.995,0.70984,1.06619,1.38783,1.59939,0.0004747,0.0004747,0.0004747
7,63.4342,1.00856,1.72231,1.43917,0.99768,1,0.995,0.73318,1.06484,1.20427,1.68588,0.0004466,0.0004466,0.0004466
8,65.6242,0.97842,1.56989,1.46687,0.99614,1,0.995,0.74976,0.9786,0.95609,1.68399,0.00038682,0.00038682,0.00038682
9,67.8599,0.94331,1.47928,1.47317,0.99219,1,0.995,0.74473,1.00626,0.86533,1.52942,0.00029536,0.00029536,0.00029536
10,70.0318,0.98849,1.43306,1.47058,0.99192,1,0.995,0.77288,0.93933,0.80116,1.48306,0.00017222,0.00017222,0.00017222
